id,date,date_precision,attribute,value,unit,vessel_type,context,representativeness,source_id,claim_id,classification,confidence,notes
VES-E048,2019/2024,period,supply_chain,Turkey -> Bulgaria (overland) -> storage in Germany -> Belgium/France; Netherlands-based haulier,,boats and engines,Evidenced by NCA and Belgian investigators; Bruges conviction,court_record,VES-NCA-2026-01-07-SAVAS,VES-SAVAS-SUPPLY,REPORTED_EVENT,HIGH,Also BSC case study
VES-E049,2019/2024,period,supply_chain,4000,GBP average per boat-and-engine package,boats and engines,NCA account of Savas pricing,court_record,VES-NCA-2026-01-07-SAVAS,VES-SAVAS-SUPPLY,REPORTED_EVENT,MEDIUM,
VES-E050,2024-05-01,day,occupancy_observed,66,persons rescued,unspecified,Boat in difficulty off Dieppe (76); landed at Dieppe,single_incident,FR-NOTICE-2024-05-01,VES-PREMAR-2024-DIEPPE,DOCUMENTED_EVENT,MEDIUM,URL unverified
VES-E051,2024-05-01,day,range,boat off Dieppe (Seine-Maritime),,unspecified,Seine-Maritime waters in 2024,single_incident,FR-NOTICE-2024-05-01,VES-PREMAR-2024-DIEPPE,DOCUMENTED_EVENT,MEDIUM,Departure point not stated
VES-E052,2024-11-13,day,supply_chain,"boats and engines shipped from Türkiye, stored in Europe, moved to northern France",,boats and engines,Eurojust: arrest of suspected supplier at Amsterdam,official_assessment,VES-EUROJUST-2024-11-14,VES-EUROJUST-2024,REPORTED_EVENT,MEDIUM,Suspicion at arrest
VES-E053,2024-12-04,day,seizure,21 boats; 24 engines,items,inflatable boats and outboards,"German raids (NRW, Baden-Württemberg), OLTIM-led investigation",seizure_batch,VES-NCA-2024-12-05,VES-SEIZURES-2024-2026,REPORTED_EVENT,HIGH,
VES-E054,2025-04-09,day,supply_chain,boat and engine sourced by a Lower Saxony marine firm previously identified as supplying numerous boats/engines used in crossings,,inflatable + outboard,Seized by Bundespolizei heading to Dutch border,single_incident,VES-NCA-2025-04-17,VES-SEIZURES-2024-2026,REPORTED_EVENT,HIGH,Shows legitimate EU retail as a source
VES-E055,2025-04-17,day,seizure,>600,boats and engines (combined) in previous 18 months,boats and engines,NCA cumulative,official_assessment,VES-NCA-2025-04-17,VES-SEIZURE-COUNTS,REPORTED_EVENT,MEDIUM,
VES-E056,2025-07-26,day,seizure,25,inflatable boats,inflatable,"Lorry at Kapitan Andreevo, Bulgaria",seizure_batch,VES-NCA-2025-07-31,VES-SEIZURES-2024-2026,REPORTED_EVENT,HIGH,
VES-E057,2025-07-26,day,length,8,"m (approx., when inflated)",inflatable,Bulgarian seizure batch,seizure_batch,VES-NCA-2025-07-31,VES-SEIZURES-2024-2026,REPORTED_EVENT,HIGH,Same approximate length class as 2021 boats
VES-E058,2025-07-26,day,passenger_capacity,50-60,persons 'typically' carried,inflatable (~8 m),NCA statement on the Bulgarian batch; repeated in BSC report,seizure_batch,VES-NCA-2025-07-31,VES-SEIZURES-2024-2026,REPORTED_EVENT,MEDIUM,"Usage estimate, not a design rating"
VES-E059,2025-07-31,day,seizure,>650,boats and engines (combined) since early 2023,boats and engines,NCA cumulative,official_assessment,VES-NCA-2025-07-31,VES-SEIZURE-COUNTS,REPORTED_EVENT,MEDIUM,
VES-E060,2025,year,seizure,533,items of small boat equipment,boats and engines,BSC annual report 2025-26,official_assessment,BSC-2026,VES-SEIZURE-COUNTS,REPORTED_EVENT,HIGH,Elsewhere 'over 500 boats and engines'
VES-E061,2025,year,supply_chain,overloading attributed to 'making the most of available supplies'; sharp reduction in equipment flows in early 2025,,all,BSC interpretation,official_assessment,BSC-2026,VES-BSC-OVERLOADING-SUPPLY,HYPOTHESIS,MEDIUM,Supports a tighter-loading explanation
VES-E062,2025,year,supply_chain,groups tested new supply routes to avoid stricter Bulgarian border controls,,boats and engines,BSC case study,official_assessment,BSC-2026,VES-BSC-OVERLOADING-SUPPLY,HYPOTHESIS,MEDIUM,
VES-E063,2025,year,engine_type,>60,% of engines used by smuggling gangs branded as Chinese-manufactured,outboard,Government press release on UK-China deal,official_assessment,VES-GOVUK-2026-01-28-CHINA,VES-CHINA-ENGINES-2025,REPORTED_EVENT,MEDIUM,Denominator unknown
VES-E064,2025,year,occupancy_observed,62,average migrants per boat,all,NCA NSA 2026: OCGs 'increased the number of migrants per boat to enable more arrivals',statistical_series,NCA-NSA-2026,VES-NCA-NSA-LOAD,HYPOTHESIS,MEDIUM,Number matches HO occupancy (61.71); the motive is interpretation. Use HO tables for figures
VES-E065,2025-03,month,supply_chain,"tyre inner tubes shipped into Italy, stored in Germany, combined with boats, pumps, engines into go kits (>EUR 10,000 each, one launch per kit)",,go kit,NCA/Belgian investigation,official_assessment,VES-NCA-2026-03-25,VES-GOKITS-2025-2026,REPORTED_EVENT,HIGH,
VES-E066,2025-04/2025-12,period,seizure,7 vehicles with kits intercepted in Belgium; 5 France; 2 Germany; 2 Netherlands,interceptions,go kit,"NCA: kits could have carried ~1,000 people",seizure_batch,VES-NCA-2026-03-25,VES-GOKITS-2025-2026,REPORTED_EVENT,HIGH,
VES-E067,2026-01-17,day,occupancy_observed,>70,persons,inflatable,Pilot Tajik sentenced for endangerment,court_record,VES-CPS-2026-06-10,VES-CPS-2026-LOADS,REPORTED_EVENT,HIGH,
VES-E068,2026-03-25,day,fuel,"petrol cans seized with boats, engines, pumps and life jackets",,go kit,NRW raids,seizure_batch,VES-NCA-2026-03-25,VES-GOKITS-2025-2026,REPORTED_EVENT,HIGH,No volumes
VES-E069,2026-03-25,day,engine_power,"'70 or more people crammed on, propelled by a hugely under-powered engine'",,inflatable,NCA Deputy Director of Investigations,official_assessment,VES-NCA-2026-03-25,VES-UNDERPOWERED,REPORTED_EVENT,MEDIUM,No horsepower
VES-E070,2026-04-09,day,occupancy_observed,74,persons (73 others + pilot),inflatable,"No radio, flares, repair kit, paddles, lights or navigation aids",court_record,VES-CPS-2026-06-10,VES-CPS-2026-LOADS,REPORTED_EVENT,HIGH,
VES-E071,2026-04-18,day,passenger_capacity,20,"passengers (design, per prosecution)",inflatable,'The boat was designed to carry 20 passengers',court_record,VES-CPS-2026-06-24,VES-CPS-2026-LOADS,REPORTED_EVENT,MEDIUM,"Prosecution statement, basis not given"
VES-E072,2026-04-18,day,occupancy_observed,67,persons (66 others + pilot),inflatable,"Overcrowding restricted speed, manoeuvrability and seaworthiness (prosecution)",court_record,VES-CPS-2026-06-24,VES-CPS-2026-LOADS,REPORTED_EVENT,HIGH,3.35 x the stated design load
VES-E073,2026-05-21,day,seizure,">30 boats; >20 engines; 360 pumps; >9,000 life jackets",items,go kits,"NRW raids, OLTIM/Bundespolizei/NCA",seizure_batch,VES-NCA-2026-06-17,VES-SEIZURES-2024-2026,REPORTED_EVENT,HIGH,
VES-E074,2026-05-21,day,fuel,"go kits packaged with boat, engine, pump and fuel",,go kit,Ready for the French coast,seizure_batch,VES-NCA-2026-06-17,VES-GOKITS-2025-2026,REPORTED_EVENT,HIGH,No volume or container type
VES-E075,2026-06-21,day,occupancy_observed,83,persons (82 others + pilot),unspecified,"Pilot Yuk; notes list 44 men, 27 women, 13 children (84)",court_record,VES-CPS-2026-07-31,VES-CPS-2026-LOADS,REPORTED_EVENT,HIGH,Internal discrepancy 83 vs 84-85
VES-E076,2026-06-23,day,occupancy_observed,96,persons (95 others + pilot),unspecified,Pilot Heidari,court_record,VES-CPS-2026-07-31,VES-CPS-2026-LOADS,REPORTED_EVENT,HIGH,
VES-E077,2026-06-26,day,seizure,25,inflatable boats (5 on 24 Jun + 20 on 26 Jun),inflatable,"Lesovo, Bulgaria; second batch bound for Germany",seizure_batch,VES-NCA-2026-07-01,VES-SEIZURES-2024-2026,REPORTED_EVENT,HIGH,
VES-E078,2026-06-26,day,passenger_capacity,68,"persons per boat implied (>1,700 / 25)",inflatable,Derived from NCA capacity estimate,seizure_batch,VES-NCA-2026-07-01,VES-NCA-IMPLIED-LOAD-2026,DERIVED_STATISTIC,MEDIUM,Lower bound; NCA assumption not measurement
VES-E079,2026-07-01,day,seizure,">1,000 (>500 in 2025)",boats and engines (combined) since early 2023,boats and engines,NCA cumulative,official_assessment,VES-NCA-2026-07-01,VES-SEIZURE-COUNTS,REPORTED_EVENT,MEDIUM,
VES-E080,2026-07-18,day,seizure,25 boats; 25 engines,items,inflatable + Parsun outboard,Container at Felixstowe,seizure_batch,VES-NCA-2026-07-22,VES-SEIZURES-2024-2026,REPORTED_EVENT,HIGH,
VES-E081,2026-07-18,day,length,10,m,rubber boat,Felixstowe batch,seizure_batch,VES-NCA-2026-07-22,VES-SEIZURES-2024-2026,REPORTED_EVENT,HIGH,
VES-E082,2026-07-18,day,passenger_capacity,80,"persons per boat (approx., NCA estimate)",rubber boat (10 m),'Each boat could have carried around 80 people',seizure_batch,VES-NCA-2026-07-22,VES-SEIZURES-2024-2026,REPORTED_EVENT,MEDIUM,Estimate
VES-E083,2026-07-18,day,engine_type,Parsun outboard engines; described as 'under-powered',,outboard,Felixstowe batch; NCA Branch Commander quote,seizure_batch,VES-NCA-2026-07-22,VES-UNDERPOWERED,REPORTED_EVENT,HIGH,No power rating
VES-E084,2026-07-18,day,supply_chain,container shipped from China via Felixstowe to Hamburg (Germany as staging post),,boats and engines,Felixstowe batch,seizure_batch,VES-NCA-2026-07-22,VES-SEIZURES-2024-2026,REPORTED_EVENT,HIGH,
VES-E085,2026-07-22,day,seizure,">1,500",boats and engines intercepted by NCA and partners since early 2023,boats and engines,NCA cumulative (different scope wording),official_assessment,VES-NCA-2026-07-22,VES-SEIZURE-COUNTS,REPORTED_EVENT,MEDIUM,Not reconcilable with 1 Jul figure
VES-E086,2026-07-22,day,range,launched off Yport (76); engine failure; night at sea under French monitoring; at dawn 23 Jul beached at Berck-sur-Mer to embark more people,,unspecified,Southern launch followed by coastal transit and pickup further north,single_incident,FR-NOTICE-2026-07-22,VES-PREMAR-2026-07-YPORT,DOCUMENTED_EVENT,HIGH,Contradicts reading southern launches as longer loaded crossings
VES-E087,2026-07-23,day,seaworthiness,engine failure en route; 'particulièrement surchargée' after embarkation,,unspecified,Same boat,single_incident,FR-NOTICE-2026-07-22,VES-PREMAR-2026-07-YPORT,DOCUMENTED_EVENT,HIGH,
VES-E088,2026-08-03,day,range,departure reported Veules-les-Roses sector (76) on 3 Aug; still under way next morning in French SRR near UK SRR,,unspecified,"Monitored day and night by SNSM Dieppe, Argonaute, Minck",single_incident,VES-PREMAR-2026-08-04,VES-PREMAR-2026-08-VEULES,DOCUMENTED_EVENT,HIGH,Roughly a day at sea; route and pickups not stated
VES-E089,2026-08-04,day,seaworthiness,engine caught fire; integrity of the boat degraded very rapidly,,unspecified,MAYDAY RELAY; UK and French assets,single_incident,VES-PREMAR-2026-08-04,VES-PREMAR-2026-08-VEULES,DOCUMENTED_EVENT,HIGH,
VES-E090,2026-08-04,day,occupancy_observed,173,persons rescued,unspecified,5 overnight + 30 Argonaute + 75 Minck + 63 UK assets,single_incident,VES-PREMAR-2026-08-04,VES-PREMAR-2026-08-VEULES,DOCUMENTED_EVENT,HIGH,
VES-E091,2026-08-10,day,occupancy_observed,230,persons,inflatable,"SNSM record, escorted to British waters",single_incident,VES-FRANCEINFO-2026-08-10,VES-SNSM-230-15M,REPORTED_EVENT,MEDIUM,News-attributed; no official notice retrieved
VES-E092,2026-08-10,day,length,15,m (remark),inflatable,SNSM Berck director: vessels of 15 m increasingly seen,official_assessment,VES-FRANCEINFO-2026-08-10,VES-SNSM-230-15M,REPORTED_EVENT,LOW,"Unmeasured, second-hand"
VES-E093,2026-09-05,day,range,boat with ~140 people west of Baie de Seine heading for the UK; departure 'unusual for the area',,unspecified,"CROSS Jobourg; SNSM, Abeille Liberté, helicopters",single_incident,FR-NOTICE-2026-09-06,VES-PREMAR-2026-09-SEINE,DOCUMENTED_EVENT,HIGH,
VES-E094,2026-09-05,day,occupancy_observed,140,persons (approx.),unspecified,Same event,single_incident,FR-NOTICE-2026-09-06,VES-PREMAR-2026-09-SEINE,DOCUMENTED_EVENT,HIGH,
VES-E095,2026-09-06,day,range,"Utah Beach to Eastney (Portsmouth), ~10 h",hours,pneumatic inflatable,BBC (duration); local media (mayor for departure),single_incident,BBC-2026-09-07,VES-UTAH-PORTSMOUTH-2026,REPORTED_EVENT,MEDIUM,Earlier ~24 h was an inference from the ICI timeline; withdrawn 2026-09-15
VES-E096,2026-09-06,day,range,152.8 km / 82.5 nm,straight-line distance,pneumatic inflatable,Haversine between approximate endpoints,single_incident,ICI-2026-09-07,VES-UTAH-DISTANCE,DERIVED_STATISTIC,MEDIUM,Lower bound on distance travelled
VES-E097,2026-07-16,day,seaworthiness,boats 'extremely fragile and overloaded'; arrivals 'often ... with fuel burns and hypothermia',,all,BSC annual report,official_assessment,BSC-2026,VES-BSC-FUEL-BURNS,REPORTED_EVENT,MEDIUM,
VES-E098,2026-06-05,day,passenger_capacity,"more people per boat 'reflects the use of larger boats, but may also indicate ... beyond their capacity'",,all,Migration Observatory interpretation,official_assessment,OXFORD-2026,VES-OXFORD-HYP,HYPOTHESIS,MEDIUM,Not an official body; no data
VES-E099,2026-08-12,day,passenger_capacity,boats 'not necessarily becoming larger in every case' but more crammed,,all,InfoMigrants analysis,official_assessment,VES-INFOMIGRANTS-2026-08-12,VES-INFOMIGRANTS-HYP,HYPOTHESIS,LOW,Journalistic
